NIC58	IPR_accession	IPR_description	GO
NIC58.17304	IPR030395	Glycerophosphodiester phosphodiesterase domain	GO:0006629(InterPro)|GO:0008081(InterPro)
NIC58.17304	IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily	GO:0006629(InterPro)|GO:0008081(InterPro)
NIC58.17304	IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily	GO:0006629(InterPro)|GO:0008081(InterPro)
NIC58.17304	-	-	GO:0005886(PANTHER)|GO:0006580(PANTHER)|GO:0006644(PANTHER)|GO:0008889(PANTHER)|GO:0070291(PANTHER)
NIC58.17304	IPR030395	Glycerophosphodiester phosphodiesterase domain	GO:0006629(InterPro)|GO:0008081(InterPro)
NIC58.4095	IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily	GO:0016627(InterPro)
NIC58.4095	IPR036250	Acyl-CoA dehydrogenase-like, C-terminal	GO:0016627(InterPro)
NIC58.4095	IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal	GO:0016627(InterPro)|GO:0050660(InterPro)
NIC58.4095	IPR046373	Acyl-CoA oxidase/dehydrogenase, middle domain superfamily	GO:0016627(InterPro)
NIC58.4095	IPR006089	Acyl-CoA dehydrogenase, conserved site	GO:0003995(InterPro)
NIC58.4095	IPR037069	Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily	GO:0016627(InterPro)|GO:0050660(InterPro)
NIC58.4095	IPR006091	Acyl-CoA oxidase/dehydrogenase, middle domain	GO:0016627(InterPro)
NIC58.4095	IPR009075	Acyl-CoA dehydrogenase/oxidase, C-terminal	GO:0016627(InterPro)
NIC58.4095	IPR052033	Mitochondrial Glutaryl-CoA Dehydrogenase	GO:0000062(PANTHER)|GO:0004361(PANTHER)|GO:0005743(PANTHER)|GO:0033539(PANTHER)|GO:0046949(PANTHER)|GO:0050660(PANTHER)
NIC58.17744	IPR051133	Adapter and Engulfment Domain-Containing Protein	-
NIC58.17744	IPR006020	PTB/PI domain	-
NIC58.17744	IPR006020	PTB/PI domain	-
NIC58.17744	IPR011993	PH-like domain superfamily	-
NIC58.17744	IPR033930	FAM43A/B, phosphotyrosine-binding domain	-
NIC58.17062	IPR017970	Homeobox, conserved site	GO:0000981(InterPro)|GO:0006355(InterPro)
NIC58.17062	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.17062	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.17062	IPR009057	Homedomain-like superfamily	-
NIC58.17062	IPR050460	Distal-less homeobox transcription factors	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0006357(PANTHER)|GO:0009790(PANTHER)|GO:0030154(PANTHER)
NIC58.17062	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.17062	IPR001356	Homeodomain	GO:0003677(InterPro)
