pop	chromosome	window_pos_1	window_pos_2	avg_watterson_theta	no_sites	raw_watterson_theta	no_var_sites	weighted_no_sites
GLOBAL	I	32589	42588	0.001255292663626	1138	1.4285230512064	11	1135.5032154341
GLOBAL	I	42589	52588	0.0033315407202524	39	0.12993008808984	1	38.818327974277
GLOBAL	I	52589	62588	0.0011394391236358	456	0.51958424037794	4	453.90996784566
GLOBAL	I	62589	72588	NA	0	0	0	0
GLOBAL	I	72589	82588	0.0017638104507775	810	1.4286864651298	11	808.13665594855
GLOBAL	I	82589	92588	0.0024847972603589	784	1.9480810521214	15	781.55948553055
GLOBAL	I	92589	102588	0	50	0	0	49.826366559486
GLOBAL	I	102589	112588	NA	0	0	0	0
GLOBAL	I	112589	122588	0.0012288569169087	423	0.51980647585237	4	421.47266881029
GLOBAL	I	122589	132588	0	418	0	0	416.21864951768
GLOBAL	I	132589	142588	0.0011934094614717	544	0.6492147470406	5	541.09003215434
GLOBAL	I	142589	152588	0.00036881028426458	352	0.12982122006113	1	351.36816720257
GLOBAL	I	152589	162588	0.0011424808125143	682	0.77917191413477	6	676.55948553055
GLOBAL	I	162589	172588	0.00064488249052563	403	0.25988764368183	2	401.34405144695
GLOBAL	I	172589	182588	0.0027693414629125	563	1.5591392436197	12	560.90353697749
GLOBAL	I	182589	192588	0.002763245942208	423	1.168853033554	9	421.61254019293
GLOBAL	I	192589	202588	0.0015458137402984	84	0.12984835418507	1	83.602893890675
GLOBAL	I	202589	212588	NA	0	0	0	0
GLOBAL	I	212589	222588	NA	0	0	0	0
GLOBAL	I	222589	232588	NA	0	0	0	0
GLOBAL	I	232589	242588	0.0021417059736537	182	0.38979048720496	3	179.14790996785
GLOBAL	I	242589	252588	NA	0	0	0	0
GLOBAL	I	252589	262588	0	21	0	0	20.956591639871
GLOBAL	I	262589	272588	0.0019258933742141	607	1.1690172781479	9	604.5192926045
GLOBAL	I	272589	282588	0.00088132379564434	442	0.3895451176748	3	440.33762057878
GLOBAL	I	282589	292588	0	138	0	0	137.70096463023
GLOBAL	I	292589	302588	0.00080444502840808	486	0.39096028380633	3	483.34887459807
GLOBAL	I	302589	312588	0.0020817339254967	624	1.2990019695099	10	621.66881028939
GLOBAL	I	312589	322588	0.004404879102295	118	0.51977573407081	4	117.45819935691
GLOBAL	I	322589	332588	0.0010169472436223	383	0.38949079430733	3	381.43729903537
GLOBAL	I	332589	342588	0.0022053327238854	530	1.1688263436593	9	528.73633440514
