Orthogroup	Ce_transcript	Ct_transcript
OG0002539	transcript_C06B8.10.1	transcript_NIC58.10289.2
OG0002540	transcript_T03F7.2.1	transcript_NIC58.8341.1
OG0002541	transcript_T24A6.4.1	transcript_NIC58.7582.1
OG0002542	transcript_AC3.1a.1	transcript_NIC58.8562.1
OG0002543	transcript_F13A7.8.1	transcript_NIC58.9826.1
OG0002544	transcript_F33H12.5.1	transcript_NIC58.5869.1
OG0002545	transcript_T07H3.1.1	transcript_NIC58.16963.1
OG0002546	transcript_T07H3.6.1	transcript_NIC58.5421.1
OG0002548	transcript_Y75B8A.37.1	transcript_NIC58.11804.1
OG0002549	transcript_F54D10.8.1	transcript_NIC58.7313.1
OG0002550	transcript_F09E8.3a.1	transcript_NIC58.12543.1
OG0002552	transcript_F22F7.12.1	transcript_NIC58.13307.1
OG0002553	transcript_T05B4.3.1	transcript_NIC58.7640.1
OG0002554	transcript_T05B4.11.1	transcript_NIC58.7643.1
OG0002555	transcript_F35E8.1.1	transcript_NIC58.9178.1
OG0002557	transcript_C03G6.13.1	transcript_NIC58.7622.1
OG0002558	transcript_T05B4.12.1	transcript_NIC58.7644.3
OG0002561	transcript_W09G10.6.1	transcript_NIC58.5806.2
OG0002563	transcript_C18B10.8.1	transcript_NIC58.7572.1
OG0002566	transcript_C50B6.10.1	transcript_NIC58.7966.1
OG0002567	transcript_T19H12.7.1	transcript_NIC58.8351.1
OG0002568	transcript_C55A1.5.1	transcript_NIC58.16886.1
OG0002569	transcript_F22B8.5a.1	transcript_NIC58.10001.1
OG0002570	transcript_ZK418.1.1	transcript_NIC58.15363.1
OG0002572	transcript_T01G5.2.1	transcript_NIC58.8375.2
OG0002573	transcript_C17G1.3a.1	transcript_NIC58.17440.1
OG0002574	transcript_C49A9.8.2	transcript_NIC58.11673.1
OG0002575	transcript_C33A12.6a.1	transcript_NIC58.11485.1
OG0002576	transcript_F10D2.5.1	transcript_NIC58.8997.1
OG0002577	transcript_C35A5.2.1	transcript_NIC58.8533.1
OG0002578	transcript_C10H11.3.1	transcript_NIC58.1006.1
OG0002579	transcript_C10H11.6a.1	transcript_NIC58.10694.1
OG0002580	transcript_C36C5.5.1	transcript_NIC58.6629.1
OG0002581	transcript_C16C10.2.1	transcript_NIC58.15939.1
OG0002582	transcript_Y80D3A.4.1	transcript_NIC58.10473.1
OG0002583	transcript_Y17D7A.3a.1	transcript_NIC58.10479.1
OG0002584	transcript_Y17D7A.1.1	transcript_NIC58.10478.1
OG0002585	transcript_R11G11.2.1	transcript_NIC58.7804.2
OG0002586	transcript_C17E7.1.1	transcript_NIC58.7801.1
OG0002587	transcript_T01G6.7.1	transcript_NIC58.7394.1
OG0002588	transcript_M02H5.1.1	transcript_NIC58.7393.3
OG0002591	transcript_Y46G5A.13.1	transcript_NIC58.5620.1
OG0002592	transcript_C18A3.5a.1	transcript_NIC58.5003.1
OG0002595	transcript_R10E11.1b.1	transcript_NIC58.15714.1
OG0002597	transcript_T04C12.2a.1	transcript_NIC58.8404.1
OG0002598	transcript_Y48G1C.5.1	transcript_NIC58.6596.1
OG0002600	transcript_K07F5.8.1	transcript_NIC58.12168.1
OG0002601	transcript_C33H5.16.1	transcript_NIC58.2211.2
OG0002603	transcript_B0464.5a.1	transcript_NIC58.15796.4
OG0002604	transcript_F22D6.5a.2	transcript_NIC58.128.4
OG0002605	transcript_F57G8.4.1	transcript_NIC58.10088.1
OG0002606	transcript_T06G6.7.1	transcript_NIC58.6607.1
OG0002608	transcript_C29F9.9.1	transcript_NIC58.6568.2
OG0002610	transcript_C33A12.8.1	transcript_NIC58.11480.1
OG0002611	transcript_R07B5.7.1	transcript_NIC58.9274.1
OG0002612	transcript_T03G11.2.1	transcript_NIC58.18266.1
OG0002613	transcript_T02D1.3.1	transcript_NIC58.12264.1
OG0002614	transcript_C33A12.11.1	transcript_NIC58.11484.1
OG0002615	transcript_C33A12.10.1	transcript_NIC58.11481.1
OG0002616	transcript_C33A12.14.1	transcript_NIC58.11479.1
OG0002617	transcript_C33A12.13.1	transcript_NIC58.11478.1
OG0002618	transcript_T07H8.3.1	transcript_NIC58.8964.1
OG0002619	transcript_T01C4.3.1	transcript_NIC58.8994.1
OG0002620	transcript_T01C4.4.1	transcript_NIC58.8995.1
OG0002621	transcript_C03A7.6.1	transcript_NIC58.7153.1
OG0002622	transcript_E02C12.2.1	transcript_NIC58.9155.1
OG0002623	transcript_E02C12.3.1	transcript_NIC58.9154.1
OG0002624	transcript_Y43B11AL.2b.1	transcript_NIC58.11817.1
OG0002625	transcript_T10H4.9.1	transcript_NIC58.10000.1
OG0002627	transcript_F16B4.2b.1	transcript_NIC58.7695.1
OG0002628	transcript_Y17G7B.8.1	transcript_NIC58.4876.1
OG0002629	transcript_F53H1.4a.1	transcript_NIC58.13422.1
OG0002630	transcript_T26H2.9a.1	transcript_NIC58.10505.1
OG0002631	transcript_ZK697.2a.1	transcript_NIC58.6461.1
OG0002632	transcript_F59B2.9.1	transcript_NIC58.16195.1
OG0002633	transcript_F59B2.8.1	transcript_NIC58.16127.1
OG0002634	transcript_Y43B11AL.1.1	transcript_NIC58.11819.1
OG0002635	transcript_ZK1320.4.1	transcript_NIC58.3812.3
OG0002636	transcript_T10B9.8.2	transcript_NIC58.3765.1
OG0002637	transcript_T10B9.4.1	transcript_NIC58.3760.2
OG0002638	transcript_T10B9.7.1	transcript_NIC58.3767.1
OG0002639	transcript_T10B9.3.1	transcript_NIC58.3759.1
OG0002640	transcript_K11G9.1.1	transcript_NIC58.8912.1
OG0002642	transcript_B0238.7.1	transcript_NIC58.7927.1
OG0002643	transcript_C52A10.1.1	transcript_NIC58.7906.1
OG0002644	transcript_F13H6.3.1	transcript_NIC58.8909.1
OG0002645	transcript_F56C11.6b.1	transcript_NIC58.426.1
OG0002646	transcript_K11G9.2.1	transcript_NIC58.8911.2
OG0002647	transcript_D1054.8.1	transcript_NIC58.8476.1
OG0002648	transcript_F28H7.2.1	transcript_NIC58.8485.1
OG0002649	transcript_F02C12.2.1	transcript_NIC58.9672.1
OG0002650	transcript_Y45F10D.13d.1	transcript_NIC58.11255.1
OG0002651	transcript_F35D11.1.1	transcript_NIC58.10335.1
OG0002652	transcript_E03A3.4.1	transcript_NIC58.2213.1
OG0002653	transcript_F45E1.6.1	transcript_NIC58.18770.2
OG0002654	transcript_Y17G9A.5.1	transcript_NIC58.11278.1
OG0002655	transcript_T08B6.6.1	transcript_NIC58.11276.1
OG0002656	transcript_Y9C9A.7.1	transcript_NIC58.11294.1
OG0002657	transcript_Y9C9A.3.1	transcript_NIC58.11296.1
OG0002658	transcript_T08B6.7.1	transcript_NIC58.11277.1
OG0002659	transcript_T01G5.5.1	transcript_NIC58.9671.1
OG0002660	transcript_Y17G9A.1.1	transcript_NIC58.11279.1
OG0002661	transcript_Y6E2A.7.1	transcript_NIC58.6053.2
OG0002663	transcript_ZC196.5.1	transcript_NIC58.7076.3
OG0002664	transcript_Y2H9A.4b.1	transcript_NIC58.6680.1
OG0002665	transcript_Y6E2A.5.1	transcript_NIC58.9324.1
OG0002666	transcript_T26C12.6.1	transcript_NIC58.11794.1
OG0002667	transcript_R10D12.2.1	transcript_NIC58.6892.1
OG0002668	transcript_Y38E10A.19.1	transcript_NIC58.5643.1
OG0002669	transcript_Y38E10A.18.1	transcript_NIC58.5642.2
OG0002671	transcript_T22H2.5b.1	transcript_NIC58.2390.2
OG0002672	transcript_B0365.5a.1	transcript_NIC58.8682.1
OG0002673	transcript_F14E5.1.1	transcript_NIC58.3268.1
OG0002675	transcript_K10D11.5.1	transcript_NIC58.12408.2
OG0002676	transcript_Y69H2.8.1	transcript_NIC58.10551.1
OG0002677	transcript_F38H12.3a.1	transcript_NIC58.7631.1
OG0002678	transcript_Y41D4B.21a.1	transcript_NIC58.13637.1
OG0002679	transcript_R13D11.8a.1	transcript_NIC58.7686.1
OG0002680	transcript_F36A4.6.1	transcript_NIC58.13289.2
OG0002681	transcript_Y41E3.2.1	transcript_NIC58.10993.1
OG0002682	transcript_C24F3.6.1	transcript_NIC58.12307.1
OG0002683	transcript_C53B4.5.1	transcript_NIC58.11412.1
OG0002684	transcript_ZC513.8.1	transcript_NIC58.6837.1
OG0002685	transcript_F23H12.4a.1	transcript_NIC58.8075.1
OG0002686	transcript_F36A4.10.1	transcript_NIC58.13294.1
OG0002687	transcript_T05F1.13.1	transcript_NIC58.302.1
OG0002688	transcript_Y94H6A.2.1	transcript_NIC58.5608.1
OG0002689	transcript_C41C4.6.1	transcript_NIC58.3334.2
OG0002690	transcript_F07G11.9.1	transcript_NIC58.6537.1
OG0002691	transcript_K12D9.9.1	transcript_NIC58.10313.1
OG0002692	transcript_F10D2.1.1	transcript_NIC58.8832.1
OG0002694	transcript_C42D4.9.1	transcript_NIC58.11845.1
OG0002695	transcript_M7.13.1	transcript_NIC58.12013.1
OG0002696	transcript_F49E11.10a.1	transcript_NIC58.12415.1
