pop	chromosome	window_pos_1	window_pos_2	avg_watterson_theta	no_sites	raw_watterson_theta	no_var_sites	weighted_no_sites
Taiwan	I	1	10000	0	67	0	0	56.5
Hawaii	I	1	10000	0	22	0	0	22
Caribbean	I	1	10000	0	134	0	0	102.53333333333
Indonesia	I	1	10000	NA	0	0	0	0
Africa	I	1	10000	0	95	0	0	95
South America	I	1	10000	0.0011215826664365	134	0.15029207730249	1	97.619266055046
Central America	I	1	10000	0	134	0	0	99.24358974359
Australia	I	1	10000	NA	0	0	0	0
Micronesia	I	1	10000	0	54	0	0	18.5
Taiwan	I	10001	20000	0.0007565507692167	6161	4.6611092891441	21	3607.1081081081
Hawaii	I	10001	20000	0.00055673475597024	5734	3.1923170907333	16	3559.7666666667
Caribbean	I	10001	20000	0.0002532931363207	6817	1.7266993102982	9	5664.9682539683
Indonesia	I	10001	20000	0.00089460679901167	6402	5.7272727272727	8	5149
Africa	I	10001	20000	0.00058820665066903	6793	3.9956877779947	15	3365.2941176471
South America	I	10001	20000	0.00087304238187262	6952	6.0693906387784	41	5947.890625
Central America	I	10001	20000	0.00048513753349881	6924	3.3590922819458	19	5666.578313253
Australia	I	10001	20000	0.00014479198810562	2287	0.33113927679755	1	2117.6666666667
Micronesia	I	10001	20000	0.00036442065658928	6631	2.4164733738435	12	4022.5849056604
Taiwan	I	20001	30000	0.00050191513727441	8690	4.3616425429146	20	5985.0555555556
Hawaii	I	20001	30000	0.00033355811939929	8690	2.8986200575798	15	7583.4
Caribbean	I	20001	30000	0.00021235433357119	8690	1.8453591587336	10	8545.8125
Indonesia	I	20001	30000	0.00044973977084812	8661	3.8951961553156	9	5847.75
Africa	I	20001	30000	0.0007789870955052	8690	6.7693978599402	27	7874.5882352941
South America	I	20001	30000	0.00043960853923718	8690	3.8201982059711	26	8516.1379310345
Central America	I	20001	30000	0.00024380191273947	8690	2.118638621706	12	8366.4597701149
Australia	I	20001	30000	0	6610	0	0	6468.1666666667
Micronesia	I	20001	30000	0.00032108461976646	8690	2.7902253457705	13	6879.6666666667
Taiwan	I	30001	40000	0.00025523441681164	8950	2.2843480304641	12	8723.6111111111
Hawaii	I	30001	40000	0.00027212478213449	8914	2.4257203079468	13	8617.2333333333
Caribbean	I	30001	40000	0.00024815944675653	8913	2.211845148941	12	8727.78125
Indonesia	I	30001	40000	0.00048181990260355	8805	4.2424242424242	11	8541.5
Africa	I	30001	40000	0.00030295912645939	8880	2.6902770429593	11	8665.8235294118
South America	I	30001	40000	0.00044209164459087	8966	3.9637936854017	27	8755.8237547893
Central America	I	30001	40000	0.00017480604503882	8984	1.5704575086288	9	8713.9540229885
Australia	I	30001	40000	0.00011318421219012	8777	0.99341783039266	3	8689
Micronesia	I	30001	40000	0.00020280320203527	9011	1.8274596535398	10	8617.9565217391
Taiwan	I	40001	50000	0.00033972476915981	9527	3.2365578757855	17	9494.9444444444
Hawaii	I	40001	50000	0.00033306318020472	9527	3.1730929178104	17	9490.6
Caribbean	I	40001	50000	0.00021287534762779	9527	2.0280634368499	11	9501.796875
Indonesia	I	40001	50000	0.00097157534870447	9527	9.2561983471074	24	9515
Africa	I	40001	50000	0.00043641239472799	9527	4.1577008845735	17	9497.2352941176
South America	I	40001	50000	0.00050691130983231	9527	4.8293440487724	33	9512.4712643678
Central America	I	40001	50000	0.0003668441691011	9527	3.4949243990262	20	9485.4827586207
Australia	I	40001	50000	0.00034757980140396	9527	3.3113927679755	10	9520
Micronesia	I	40001	50000	0.0002494111809122	9527	2.3761403205505	13	9412.4492753623
Taiwan	I	50001	60000	0.00057268859841795	9644	5.5230088431427	29	9605.6481481481
Hawaii	I	50001	60000	0.00042747099849414	9644	4.1225303094774	22	9498.5166666667
Caribbean	I	50001	60000	0.0002294052121452	9644	2.2123838659283	12	9601.734375
Indonesia	I	50001	60000	0.00083981476085846	9644	8.099173553719	21	9636
Africa	I	50001	60000	0.00053333259598154	9644	5.143459555646	21	9600.4705882353
South America	I	50001	60000	0.00053112470817167	9644	5.1221666856076	35	9635.2222222222
Central America	I	50001	60000	0.00021717281015624	9644	2.0944145811468	12	9615.0114942529
Australia	I	50001	60000	0.00013734519983308	9644	1.3245571071902	4	9626.3333333333
Micronesia	I	50001	60000	0.0002659378918774	9644	2.5647050292657	14	9531.4492753623
Taiwan	I	60001	70000	0.00047152578659478	9290	4.3804745574655	23	9203.3703703704
Hawaii	I	60001	70000	0.00038178613230695	9290	3.5467931691316	19	9140.0833333333
Caribbean	I	60001	70000	0.00021836406392221	9290	2.0286021538373	11	9229.140625
Indonesia	I	60001	70000	0.00070651657642253	9280	6.5564738292011	17	9101.5
Africa	I	60001	70000	0.00073713433019729	9290	6.8479779275329	28	9179
South America	I	60001	70000	0.00070889335238941	9290	6.5856192436976	45	9258.3869731801
Central America	I	60001	70000	0.00030043285865018	9290	2.7910212568601	16	9241.3218390805
Australia	I	60001	70000	0.00024951291039643	9290	2.3179749375829	7	9222.1666666667
Micronesia	I	60001	70000	0.00031568606213528	9290	2.9327235172368	16	9028.3188405797
Taiwan	I	70001	80000	0.00044394159169338	9861	4.3777080356884	23	9781.2592592593
Hawaii	I	70001	80000	0.00041694083286825	9861	4.1114535529138	22	9814.6
Caribbean	I	70001	80000	0.00014958950913849	9861	1.4751021496147	8	9808.390625
Indonesia	I	70001	80000	0.00074311162067337	9861	7.3278236914601	19	9817.75
Africa	I	70001	80000	0.00064484703853512	9861	6.3588366469948	26	9822.8823529412
South America	I	70001	80000	0.00041557961802954	9861	4.0980306133893	28	9853.4176245211
Central America	I	70001	80000	0.00031873396011006	9861	3.1430355806453	18	9820.0689655172
Australia	I	70001	80000	0.00010074209820431	9861	0.99341783039266	3	9853.8333333333
Micronesia	I	70001	80000	0.00018640036123897	9861	1.8380939621775	10	9701.4637681159
Taiwan	I	80001	90000	0.000578933721461	9565	5.5375010457745	29	9478.2222222222
Hawaii	I	80001	90000	0.00035130628577135	9565	3.3602446234029	18	9465.8166666667
Caribbean	I	80001	90000	0.00017348903070498	9565	1.6594225786931	9	9523.53125
Indonesia	I	80001	90000	0.00056450068330504	9565	5.3994490358127	14	9517.75
Africa	I	80001	90000	0.00041393571327857	9565	3.9592950975096	16	9517.2352941176
South America	I	80001	90000	0.00047485025439673	9565	4.5419426833047	31	9545.0421455939
Central America	I	80001	90000	0.00025566334415945	9565	2.4454198868851	14	9512.9425287356
Australia	I	80001	90000	0.00013847957210562	9565	1.3245571071902	4	9548.6666666667
Micronesia	I	80001	90000	0.00021096236699466	9565	2.017855040304	11	9357.5652173913
Taiwan	I	90001	100000	0.0003780740656229	9064	3.4268633308059	18	9013.7037037037
Hawaii	I	90001	100000	0.00039348644729136	9064	3.5665611582489	19	8944.9166666667
Caribbean	I	90001	100000	0.00032580384733347	9064	2.9530860722306	16	9021.03125
Indonesia	I	90001	100000	0.00068080305583314	9064	6.1707988980716	16	9032.25
Africa	I	90001	100000	0.00056704782663811	9064	5.1397215006478	21	8999.7058823529
South America	I	90001	100000	0.00045219549952515	9064	4.0987000076959	28	9039.2298850575
Central America	I	90001	100000	0.00028875897749017	9064	2.6173113719709	15	9008.9195402299
Australia	I	90001	100000	0.00014613383795126	9064	1.3245571071902	4	9047.8333333333
Micronesia	I	90001	100000	0.00028430111506996	9064	2.5769053069941	14	8888.0289855072
Taiwan	I	100001	110000	0.00057163426437257	9324	5.3299178810098	28	9283.5185185185
Hawaii	I	100001	110000	0.00050159035762483	9324	4.6768284944939	25	9178.2333333333
Caribbean	I	100001	110000	0.00027687295592799	9324	2.5815634410725	14	9298.96875
Indonesia	I	100001	110000	0.00099272826545554	9324	9.2561983471074	24	9292.75
Africa	I	100001	110000	0.00073444636717427	9324	6.8479779275329	28	9213.1764705882
South America	I	100001	110000	0.0004865689390081	9324	4.5367687873116	31	9306.091954023
Central America	I	100001	110000	0.00026200071134911	9324	2.4428946326191	14	9278.3103448276
Australia	I	100001	110000	0.00031963250656135	9324	2.980253491178	9	9308.6666666667
