pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Taiwan	I	1	10000	0	67	0	1430	772822
Hawaii	I	1	10000	0	22	0	22	956738
Caribbean	I	1	10000	0	134	0	381782	707370
Indonesia	I	1	10000	NA	0	0	0	3752
Africa	I	1	10000	0	95	0	95	75079
South America	I	1	10000	9.9275142773782e-05	134	868	8743377	9478077
Central America	I	1	10000	0	134	0	1083813	933021
Australia	I	1	10000	NA	0	0	0	8844
Micronesia	I	1	10000	0	54	0	735	1265967
Taiwan	I	10001	20000	0.00074265066964899	6161	4732	6371771	34842703
Hawaii	I	10001	20000	0.00061008647442948	5734	10992	18017118	32912502
Caribbean	I	10001	20000	0.00024253125328423	6817	9764	40258729	17718295
Indonesia	I	10001	20000	0.00077273781006105	6402	20	25882	173842
Africa	I	10001	20000	0.00085265957067593	6793	1196	1402670	2598943
South America	I	10001	20000	0.00022384095531939	6952	159868	714203528	255748945
Central America	I	10001	20000	0.00019012622357413	6924	13340	70163914	37194869
Australia	I	10001	20000	0	2287	0	134574	336204
Micronesia	I	10001	20000	0.00076426428016106	6631	12344	16151481	51276768
Taiwan	I	20001	30000	0.00029503675804051	8690	7852	26613633	23597187
Hawaii	I	20001	30000	0.00034287868206911	8690	16672	48623612	13422988
Caribbean	I	20001	30000	7.9419098674461e-05	8690	5436	68447012	2185308
Indonesia	I	20001	30000	0.00073046625328917	8661	88	120471	122849
Africa	I	20001	30000	0.00073286676971332	8690	3116	4251796	623294
South America	I	20001	30000	2.5872398960963e-05	8690	29412	1136809928	44864962
Central America	I	20001	30000	6.2285995413763e-05	8690	7596	121953578	8839612
Australia	I	20001	30000	0	6610	0	424373	149167
Micronesia	I	20001	30000	0.00036897040540678	8690	20064	54378345	27768225
Taiwan	I	30001	40000	0.00016554898752044	8950	8272	49967083	2150477
Hawaii	I	30001	40000	0.00044625624757927	8914	27212	60978418	3424382
Caribbean	I	30001	40000	0.00028837676205452	8913	20324	70477246	2837314
Indonesia	I	30001	40000	0.00042225806724037	8805	100	236822	15738
Africa	I	30001	40000	0.00024752603747569	8880	1192	4815655	244565
South America	I	30001	40000	6.8311852283684e-05	8966	80828	1183220734	43327886
Central America	I	30001	40000	6.4026748296568e-05	8984	8328	130070638	5689382
Australia	I	30001	40000	0	8777	0	571246	24074
Micronesia	I	30001	40000	0.00024093175879847	9011	19316	80172079	5093981
Taiwan	I	40001	50000	0.00014456959366895	9527	7908	54700299	346707
Hawaii	I	40001	50000	0.00047401113410807	9527	32008	67525840	496940
