,chrom,x,window_start,window_stop,stat_type,stat
0,I,20792.5,15793,25792,theta,0.0003783519800693601
1,I,30792.5,25793,35792,theta,0.0003109939849284889
2,I,40792.5,35793,45792,theta,0.0001532540938415632
3,I,50792.5,45793,55792,theta,0.00036903767701017374
4,I,60792.5,55793,65792,theta,0.00025538693254699077
5,I,70792.5,65793,75792,theta,0.0003894541664481061
6,I,80792.5,75793,85792,theta,0.000279159814034632
7,I,90792.5,85793,95792,theta,0.00024117459047012644
8,I,100792.5,95793,105792,theta,0.0004992176141625278
9,I,110792.5,105793,115792,theta,0.00020858950323739413
10,I,120792.5,115793,125792,theta,0.00032397446343843323
11,I,130792.5,125793,135792,theta,0.00023570342327303823
12,I,140792.5,135793,145792,theta,0.00036368669814283966
13,I,150792.5,145793,155792,theta,0.00024376740354182356
14,I,160792.5,155793,165792,theta,0.000329317266603004
15,I,170792.5,165793,175792,theta,0.0001988790466190222
16,I,180792.5,175793,185792,theta,0.00019504378619398065
17,I,190792.5,185793,195792,theta,0.00042114808216528693
18,I,200792.5,195793,205792,theta,0.0005320019950581017
19,I,210792.5,205793,215792,theta,0.0002201942230035916
20,I,220792.5,215793,225792,theta,0.00024849946147414786
21,I,230792.5,225793,235792,theta,0.00025592841145111883
22,I,240792.5,235793,245792,theta,0.0003295079031290688
23,I,250792.5,245793,255792,theta,0.00021240389224873934
24,I,260792.5,255793,265792,theta,0.0001906474662530841
25,I,270792.5,265793,275792,theta,0.0003096412732023506
26,I,280792.5,275793,285792,theta,0.0005102409979496712
27,I,290792.5,285793,295792,theta,0.000490636541081622
28,I,300792.5,295793,305792,theta,0.00025185700430702633
29,I,310792.5,305793,315792,theta,0.00047968904707595256
30,I,320792.5,315793,325792,theta,0.00025481873064811766
31,I,330792.5,325793,335792,theta,0.0004236988384492212
32,I,340792.5,335793,345792,theta,0.0003464414766645104
33,I,350792.5,345793,355792,theta,0.0003590721555012373
34,I,360792.5,355793,365792,theta,0.0002841062669250652
35,I,370792.5,365793,375792,theta,0.0002568994803466479
36,I,380792.5,375793,385792,theta,0.00048165879566218955
37,I,390792.5,385793,395792,theta,0.0006306120101897862
38,I,400792.5,395793,405792,theta,0.005719423987592524
39,I,410792.5,405793,415792,theta,0.00572021307294311
40,I,420792.5,415793,425792,theta,0.006255009344301988
41,I,430792.5,425793,435792,theta,0.0077879881733999715
42,I,440792.5,435793,445792,theta,0.003902176348063824
43,I,450792.5,445793,455792,theta,0.00041523223627509527
44,I,460792.5,455793,465792,theta,0.0004377205637830782
45,I,470792.5,465793,475792,theta,0.00018337871367792442
46,I,480792.5,475793,485792,theta,0.0003775387234984438
47,I,490792.5,485793,495792,theta,0.0005797934599180818
48,I,500792.5,495793,505792,theta,0.00037326298611778245
49,I,510792.5,505793,515792,theta,0.0004192625575122451
50,I,520792.5,515793,525792,theta,0.00046289961719266206
51,I,530792.5,525793,535792,theta,0.00026722672262209543
52,I,540792.5,535793,545792,theta,0.00044882633486768825
53,I,550792.5,545793,555792,theta,0.00037865063409061467
54,I,560792.5,555793,565792,theta,0.00040266414434181303
55,I,570792.5,565793,575792,theta,0.0005245038774001204
56,I,580792.5,575793,585792,theta,0.00013945817024319174
57,I,590792.5,585793,595792,theta,0.0004595923767643331
58,I,600792.5,595793,605792,theta,0.0007152289755044944
59,I,610792.5,605793,615792,theta,0.0006936553817425845
60,I,620792.5,615793,625792,theta,1.865672024488877e-05
61,I,630792.5,625793,635792,theta,0.0
62,I,640792.5,635793,645792,theta,0.000351783169981911
63,I,650792.5,645793,655792,theta,0.0005425175820941004
64,I,660792.5,655793,665792,theta,0.0005427853667318213
65,I,670792.5,665793,675792,theta,0.00040190751432636504
66,I,680792.5,675793,685792,theta,0.00045672308906510666
67,I,690792.5,685793,695792,theta,0.00034005203489029896
68,I,700792.5,695793,705792,theta,0.0004491538019148703
69,I,710792.5,705793,715792,theta,0.00039211465208332694
70,I,720792.5,715793,725792,theta,0.00045610891376196284
71,I,730792.5,725793,735792,theta,0.0003012248437407441
72,I,740792.5,735793,745792,theta,0.0005467256468986909
73,I,750792.5,745793,755792,theta,0.00042542427760237814
74,I,760792.5,755793,765792,theta,0.0007265123041299595
75,I,770792.5,765793,775792,theta,0.000705020958913994
76,I,780792.5,775793,785792,theta,0.0006498964786062988
77,I,790792.5,785793,795792,theta,0.00035086125915813863
78,I,800792.5,795793,805792,theta,0.0003895703520586216
79,I,810792.5,805793,815792,theta,0.00055914534924187
80,I,820792.5,815793,825792,theta,0.00046320612248462875
81,I,830792.5,825793,835792,theta,0.0004558999131905125
82,I,840792.5,835793,845792,theta,0.0008510911695632407
83,I,850792.5,845793,855792,theta,0.0006785481517829761
84,I,860792.5,855793,865792,theta,0.0004366262041630025
85,I,870792.5,865793,875792,theta,0.0006410602946001471
86,I,880792.5,875793,885792,theta,0.0006896434222870344
