chrom,x,window_start,window_stop,stat_type,stat
I,5000.5,1,10000,d,-0.81527800379427
I,5000.5,1,10000,pi,6.4089638098377e-5
I,5000.5,1,10000,theta,0.0010457621132969
I,15000.5,10001,20000,d,-0.97778071182934
I,15000.5,10001,20000,pi,5.2417867029571e-4
I,15000.5,10001,20000,theta,0.0018266249362341
I,25000.5,20001,30000,d,-1.0138803075918
I,25000.5,20001,30000,pi,2.0593079794725e-4
I,25000.5,20001,30000,theta,0.0015725196723641
I,35000.5,30001,40000,d,-1.2640006771623
I,35000.5,30001,40000,pi,2.9972254965524e-4
I,35000.5,30001,40000,theta,9.9604242753728e-4
I,45000.5,40001,50000,d,-1.5413775532426
I,45000.5,40001,50000,pi,3.646164110847e-4
I,45000.5,40001,50000,theta,0.0014318030440678
I,55000.5,50001,60000,d,-1.4580736449504
I,55000.5,50001,60000,pi,3.4362711976881e-4
I,55000.5,50001,60000,theta,0.0014547604160886
I,65000.5,60001,70000,d,-1.458910731834
I,65000.5,60001,70000,pi,4.1364681584338e-4
I,65000.5,60001,70000,theta,0.0016502381188881
I,75000.5,70001,80000,d,-1.333250768156
I,75000.5,70001,80000,pi,3.541288662535e-4
I,75000.5,70001,80000,theta,0.0012911132034412
I,85000.5,80001,90000,d,-1.2510531061983
I,85000.5,80001,90000,pi,3.2227135746058e-4
I,85000.5,80001,90000,theta,0.0012909627036384
I,95000.5,90001,100000,d,-1.2708554668655
I,95000.5,90001,100000,pi,3.6567328406797e-4
I,95000.5,90001,100000,theta,0.001448323526631
I,105000.5,100001,110000,d,-1.1727766089526
I,105000.5,100001,110000,pi,5.1064293184853e-4
I,105000.5,100001,110000,theta,0.0014215027706845
I,115000.5,110001,120000,d,-1.1896900116474
I,115000.5,110001,120000,pi,3.1289365217082e-4
I,115000.5,110001,120000,theta,0.0010955216362842
I,125000.5,120001,130000,d,-1.4685008021245
I,125000.5,120001,130000,pi,2.5381313422941e-4
I,125000.5,120001,130000,theta,0.0010249482282642
I,135000.5,130001,140000,d,-1.5930779288461001
I,135000.5,130001,140000,pi,1.7258462478629e-4
I,135000.5,130001,140000,theta,0.0011451688812783
I,145000.5,140001,150000,d,-1.2736679602355
I,145000.5,140001,150000,pi,3.3266914315152e-4
I,145000.5,140001,150000,theta,0.0012570311686035
I,155000.5,150001,160000,d,-1.5134789698313
I,155000.5,150001,160000,pi,3.0757709358132e-4
I,155000.5,150001,160000,theta,0.0015769358302705
I,165000.5,160001,170000,d,-1.3133918693172
I,165000.5,160001,170000,pi,2.9650048762337e-4
I,165000.5,160001,170000,theta,0.0011597199942749
I,175000.5,170001,180000,d,-1.6203140985117
I,175000.5,170001,180000,pi,2.1495471173466e-4
I,175000.5,170001,180000,theta,0.0016788503448363
I,185000.5,180001,190000,d,-1.3191809229248
I,185000.5,180001,190000,pi,4.2387758737561e-4
I,185000.5,180001,190000,theta,0.0014602324417006
I,195000.5,190001,200000,d,-1.6269956255329
I,195000.5,190001,200000,pi,3.4550020320193e-4
I,195000.5,190001,200000,theta,0.001819241138651
I,205000.5,200001,210000,d,-1.4788922059765
I,205000.5,200001,210000,pi,4.5401399042492e-4
I,205000.5,200001,210000,theta,0.0018178667455073
I,215000.5,210001,220000,d,-1.4028617245245
I,215000.5,210001,220000,pi,3.3186665477311e-4
I,215000.5,210001,220000,theta,0.0017696721338454
I,225000.5,220001,230000,d,-1.204174525141
I,225000.5,220001,230000,pi,6.1326627979086e-4
I,225000.5,220001,230000,theta,0.0017961620276342
I,235000.5,230001,240000,d,-1.5237975563012
I,235000.5,230001,240000,pi,3.1723921506587e-4
I,235000.5,230001,240000,theta,0.0016010815240468
I,245000.5,240001,250000,d,-1.2673426456241
I,245000.5,240001,250000,pi,2.8502286861287e-4
I,245000.5,240001,250000,theta,0.0012354796541989
I,255000.5,250001,260000,d,-1.5717056560996
I,255000.5,250001,260000,pi,1.6436610000973e-4
