pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AD	Tropical	I	1	10000	0.401370283260047	13	15700	39116	1310260
AD	Tropical	I	10001	20000	0.3867399070410632	13	80544	208264	1333880
AD	Tropical	I	20001	30000	0.1481197362407782	29	36300	245072	2068144
AD	Tropical	I	30001	40000	0.2492464382432591	89	169348	679440	6003184
AD	Tropical	I	40001	50000	0.2336494864288032	88	285072	1220084	4434444
AD	Tropical	I	50001	60000	0.3087694143412013	169	2515248	8146040	3098760
AD	Tropical	I	60001	70000	0.2453298357832852	235	3610792	14718112	446304
AD	Tropical	I	70001	80000	0.3839855613743265	278	6797936	17703624	159544
AD	Tropical	I	80001	90000	0.3537912630312438	295	6184376	17480296	2374808
AD	Tropical	I	90001	100000	0.4045850245038827	250	5647112	13957788	2363236
AD	Tropical	I	100001	110000	0.3884366788236618	307	7511632	19338112	774016
AD	Tropical	I	110001	120000	0.3984539821814635	254	6224264	15621036	957012
AD	Tropical	I	120001	130000	0.4182457891771152	280	7360184	17597748	972236
AD	Tropical	I	130001	140000	0.3185831781736113	228	4649264	14593564	56804
AD	Tropical	I	140001	150000	0.3278867033090782	197	4122892	12574136	84296
AD	Tropical	I	150001	160000	0.3626326586707583	295	6580676	18146948	1194108
AD	Tropical	I	160001	170000	0.4084701297885044	265	6498964	15910500	1567132
AD	Tropical	I	170001	180000	0.367633995162961	279	6181248	16813592	1242344
AD	Tropical	I	180001	190000	0.3830595058788446	287	6381540	16659396	1782076
AD	Tropical	I	190001	200000	0.4260819274694336	239	5988152	14053992	1624472
AD	Tropical	I	200001	210000	0.4403728813382824	250	6766280	15364888	699112
AD	Tropical	I	210001	220000	0.4122350837057983	275	6903696	16746988	987668
AD	Tropical	I	220001	230000	0.3873638171327073	249	5935348	15322412	677332
AD	Tropical	I	230001	240000	0.4117542395723169	219	5609552	13623544	1476616
AD	Tropical	I	240001	250000	0.395062176584273	316	7748168	19612528	756624
AD	Tropical	I	250001	260000	0.4048977706546765	299	7552780	18653548	558996
AD	Tropical	I	260001	270000	0.4174820976338316	179	4169372	9986948	2093180
AD	Tropical	I	270001	280000	0.3760452132685139	281	6567216	17463900	592036
