I	15000	23000
I	103000	105000
I	395000	446000
I	597000	601000
I	608000	638000
I	778000	781000
I	980000	986000
I	1005000	1010000
I	1107000	1109000
I	1141000	1155000
I	1201000	1203000
I	1250000	1252000
I	1299000	1301000
I	1352000	1356000
I	1463000	1497000
I	1547000	1549000
I	1640000	1643000
I	1696000	1699000
I	1728000	1739000
I	1971000	1982000
I	1992000	1997000
I	2007000	2013000
I	2047000	2050000
I	2174000	2176000
I	2254000	2264000
I	2450000	2452000
I	2645000	2650000
I	2700000	2710000
I	2853000	2858000
I	3199000	3202000
I	3766000	3780000
I	3790000	3793000
I	3854000	3856000
I	3878000	3893000
I	3963000	3979000
I	4333000	4377000
I	4449000	4463000
I	4532000	4591000
I	4601000	4630000
I	4651000	4700000
I	4827000	4841000
I	6436000	6438000
I	7624000	7628000
I	8027000	8105000
I	8214000	8216000
I	8324000	8381000
I	8453000	8455000
I	8538000	8585000
I	8721000	8730000
I	8741000	8743000
I	8969000	9051000
I	9119000	9122000
I	9189000	9200000
I	9229000	9231000
I	9297000	9308000
I	9410000	9449000
I	9598000	9603000
I	9610000	9629000
I	9636000	9639000
I	9646000	9669000
I	9721000	9730000
I	9789000	9792000
I	9845000	9847000
I	9944000	9966000
I	9990000	10077000
I	10135000	10200000
I	10209000	10222000
I	10248000	10285000
I	10346000	10348000
I	10585000	10588000
I	10821000	10827000
I	10851000	10861000
I	10948000	10953000
I	10965000	11006000
I	11115000	11121000
I	11135000	11143000
I	11244000	11246000
I	11386000	11389000
I	11429000	11555000
I	11716000	11793000
I	12277000	12292000
II	10000	29000
II	185000	187000
II	395000	397000
II	468000	472000
II	572000	625000
II	922000	925000
II	972000	974000
II	1070000	1109000
II	1309000	1320000
II	1333000	1394000
II	1402000	1431000
II	1464000	1471000
II	1504000	1513000
II	1583000	1585000
II	1593000	1609000
II	1666000	1672000
II	1881000	1891000
II	1938000	1943000
II	1960000	1962000
II	2175000	2177000
II	2343000	2398000
II	2433000	2436000
II	2458000	2460000
II	2550000	2558000
II	2601000	2605000
II	2682000	2684000
II	2691000	2697000
II	2713000	2817000
II	2840000	2846000
II	2914000	2917000
II	3154000	3158000
II	3272000	3275000
II	3315000	3338000
II	3542000	3544000
II	3743000	3747000
II	3795000	3807000
II	3817000	3821000
II	3840000	3848000
II	4107000	4114000
II	4664000	4671000
II	4914000	4917000
II	5058000	5082000
II	5176000	5197000
II	5233000	5243000
II	5250000	5304000
II	5458000	5460000
II	5538000	5579000
II	5609000	5638000
II	5769000	5772000
II	5779000	5787000
II	5799000	5855000
II	6435000	6466000
II	6472000	6475000
II	6661000	6664000
II	7264000	7266000
II	7592000	7594000
II	7614000	7652000
II	7923000	7937000
II	8118000	8121000
II	8543000	8709000
II	8774000	8779000
II	8913000	8915000
II	8928000	9009000
II	9100000	9118000
II	9293000	9300000
II	9490000	9498000
II	9647000	9649000
II	9681000	9687000
II	9717000	9747000
II	9764000	9797000
II	9967000	10001000
II	10043000	10045000
II	10093000	10096000
II	10163000	10168000
II	10199000	10201000
II	10289000	10291000
