,0,1
0,1,10000
1,10001,20000
2,20001,30000
3,30001,40000
4,40001,50000
5,50001,60000
6,60001,70000
7,70001,80000
8,80001,90000
9,90001,100000
10,100001,110000
11,110001,120000
12,120001,130000
13,130001,140000
14,140001,150000
15,150001,160000
16,160001,170000
17,170001,180000
18,180001,190000
19,190001,200000
20,200001,210000
21,210001,220000
22,220001,230000
23,230001,240000
24,240001,250000
25,250001,260000
26,260001,270000
27,270001,280000
28,280001,290000
29,290001,300000
30,300001,310000
31,310001,320000
32,320001,330000
33,330001,340000
34,340001,350000
35,350001,360000
36,360001,370000
37,370001,380000
38,380001,390000
39,390001,400000
40,400001,410000
41,410001,420000
42,420001,430000
43,430001,440000
44,440001,450000
45,450001,460000
46,460001,470000
47,470001,480000
48,480001,490000
49,490001,500000
50,500001,510000
51,510001,520000
52,520001,530000
53,530001,540000
54,540001,550000
55,550001,560000
56,560001,570000
57,570001,580000
58,580001,590000
59,590001,600000
60,600001,610000
61,610001,620000
62,620001,630000
63,630001,640000
64,640001,650000
65,650001,660000
66,660001,670000
67,670001,680000
68,680001,690000
69,690001,700000
70,700001,710000
71,710001,720000
72,720001,730000
73,730001,740000
74,740001,750000
75,750001,760000
76,760001,770000
77,770001,780000
78,780001,790000
79,790001,800000
80,800001,810000
81,810001,820000
82,820001,830000
83,830001,840000
84,840001,850000
85,850001,860000
86,860001,870000
87,870001,880000
88,880001,890000
89,890001,900000
90,900001,910000
91,910001,920000
92,920001,930000
93,930001,940000
94,940001,950000
95,950001,960000
96,960001,970000
97,970001,980000
98,980001,990000
99,990001,1000000
100,1000001,1010000
101,1010001,1020000
102,1020001,1030000
103,1030001,1040000
104,1040001,1050000
105,1050001,1060000
106,1060001,1070000
107,1070001,1080000
108,1080001,1090000
109,1090001,1100000
110,1100001,1110000
111,1110001,1120000
112,1120001,1130000
113,1130001,1140000
114,1140001,1150000
115,1150001,1160000
116,1160001,1170000
117,1170001,1180000
118,1180001,1190000
119,1190001,1200000
120,1200001,1210000
121,1210001,1220000
122,1220001,1230000
123,1230001,1240000
124,1240001,1250000
125,1250001,1260000
126,1260001,1270000
127,1270001,1280000
128,1280001,1290000
129,1290001,1300000
130,1300001,1310000
131,1310001,1320000
132,1320001,1330000
133,1330001,1340000
134,1340001,1350000
135,1350001,1360000
136,1360001,1370000
137,1370001,1380000
138,1380001,1390000
139,1390001,1400000
140,1400001,1410000
141,1410001,1420000
142,1420001,1430000
143,1430001,1440000
144,1440001,1450000
145,1450001,1460000
146,1460001,1470000
147,1470001,1480000
148,1480001,1490000
149,1490001,1500000
150,1500001,1510000
151,1510001,1520000
152,1520001,1530000
153,1530001,1540000
154,1540001,1550000
155,1550001,1560000
156,1560001,1570000
157,1570001,1580000
158,1580001,1590000
159,1590001,1600000
160,1600001,1610000
161,1610001,1620000
162,1620001,1630000
163,1630001,1640000
164,1640001,1650000
165,1650001,1660000
166,1660001,1670000
167,1670001,1680000
168,1680001,1690000
169,1690001,1700000
170,1700001,1710000
171,1710001,1720000
172,1720001,1730000
173,1730001,1740000
174,1740001,1750000
175,1750001,1760000
176,1760001,1770000
177,1770001,1780000
178,1780001,1790000
179,1790001,1800000
180,1800001,1810000
181,1810001,1820000
