pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Tw1	LAC	I	1	10000	NA	0	0	0	17380
Tw1	LAC	I	10001	20000	0.105785189088563	53	85920	812212	213208
Tw1	LAC	I	20001	30000	0.0038760260068841	33	2108	543856	47064
Tw1	LAC	I	30001	40000	0.1218072237566103	44	91028	747312	17408
Tw1	LAC	I	40001	50000	0.0876959564991033	48	72768	829776	4464
Tw1	LAC	I	50001	60000	0.0947335389382744	47	77284	815804	1056
Tw1	LAC	I	60001	70000	0.0960170015590569	53	88192	918504	2636
Tw1	LAC	I	70001	80000	0.1627984488331861	44	123088	756076	8644
Tw1	LAC	I	80001	90000	0.1281011369421347	41	90588	707160	5420
Tw1	LAC	I	90001	100000	0.0701808580985524	48	58160	828716	5524
Tw1	LAC	I	100001	110000	0.2185217527078839	40	151148	691684	3516
Tw1	LAC	I	110001	120000	0.0991733649981731	31	52116	525504	13276
Tw1	LAC	I	120001	130000	0.1022057283093406	31	54640	534608	4172
Tw1	LAC	I	130001	140000	0.1235341278145425	34	72728	588728	2192
Tw1	LAC	I	140001	150000	0.1615738515415779	37	103532	640772	2288
Tw1	LAC	I	150001	160000	0.069194793486223	45	54032	780868	1232
Tw1	LAC	I	160001	170000	0.0645634629493763	38	42592	659692	748
Tw1	LAC	I	170001	180000	0.0316008797314504	46	25116	794788	4692
Tw1	LAC	I	180001	190000	0.1039424796032943	48	86276	830036	4204
Tw1	LAC	I	190001	200000	0.1056433208517049	52	95360	902660	1100
Tw1	LAC	I	200001	210000	0.0445091617097458	56	43160	969688	3592
Tw1	LAC	I	210001	220000	0.0828596982199013	40	57440	693220	1980
Tw1	LAC	I	220001	230000	0.1266302310439397	47	102688	810928	23312
Tw1	LAC	I	230001	240000	0.0325052725052725	52	29284	900900	2860
Tw1	LAC	I	240001	250000	0.0309200836346033	45	24016	776712	5388
Tw1	LAC	I	250001	260000	0.1462325504328735	28	70604	482820	3820
Tw1	LAC	I	260001	270000	0.0481362321047822	49	40456	840448	11172
Tw1	LAC	I	270001	280000	0.0716609313494912	47	57892	807860	9000
Tw1	LAC	I	280001	290000	0.086330065860721	51	74296	860604	25776
Tw1	LAC	I	290001	300000	0.0599682096238138	53	54780	913484	7656
Tw1	LAC	I	300001	310000	0.0276295741164442	47	22268	805948	10912
Tw1	LAC	I	310001	320000	0.0692239943694689	63	71996	1040044	72276
Tw1	LAC	I	320001	330000	0.0866643436706655	51	76604	883916	2464
Tw1	LAC	I	330001	340000	0.0440134862007905	52	39372	894544	9216
Tw1	LAC	I	340001	350000	0.085433918213986	51	74944	877216	9164
Tw1	LAC	I	350001	360000	0.147938689217759	48	123156	832480	1760
Tw1	LAC	I	360001	370000	0.1972661930283767	61	208912	1059036	1144
Tw1	LAC	I	370001	380000	0.0323018218712779	42	23432	725408	4552
Tw1	LAC	I	380001	390000	0.087671093286556	68	96360	1099108	82732
Tw1	LAC	I	390001	400000	0.0932782022173977	56	90056	965456	7824
Tw1	LAC	I	400001	410000	0.0845028366676619	51	74712	884136	2244
Tw1	LAC	I	410001	420000	0.0745793247576838	32	41396	555060	1100
Tw1	LAC	I	420001	430000	0.0802691961693066	44	56392	702536	62184
Tw1	LAC	I	430001	440000	0.1424813698478152	50	123284	865264	3736
Tw1	LAC	I	440001	450000	0.0959757207252223	45	72988	760484	91136
Tw1	LAC	I	450001	460000	0.1517031672070813	47	123328	812956	3904
Tw1	LAC	I	460001	470000	0.0596245585775354	38	38496	645640	14800
Tw1	LAC	I	470001	480000	0.0640954695281861	48	53280	831260	2980
Tw1	LAC	I	480001	490000	0.1069304890953188	50	91352	854312	14688
Tw1	LAC	I	490001	500000	0.0299106462779788	44	22776	761468	3252
Tw1	LAC	I	500001	510000	0.1260174923257518	42	91464	725804	4156
Tw1	LAC	I	510001	520000	0.0667225295453202	67	76760	1150436	14024
Tw1	LAC	I	520001	530000	0.119322437111767	70	130008	1089552	161808
Tw1	LAC	I	530001	540000	0.0866057574060123	36	53804	621252	4428
Tw1	LAC	I	540001	550000	0.0315853322304935	42	22912	725400	4560
Tw1	LAC	I	550001	560000	0.0935149337414977	57	91400	977384	13276
Tw1	LAC	I	560001	570000	0.0871429978333661	52	70788	812320	317380
Tw1	LAC	I	570001	580000	0.0935510683516078	47	75184	803668	13192
