pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
LAC	Mic1	I	1	10000	0.0029498525073746	1	4	1356	38144
LAC	Mic1	I	10001	20000	0.2269431293821537	25	60592	266992	2182008
LAC	Mic1	I	20001	30000	0.0893448480404291	38	76516	856412	763088
LAC	Mic1	I	30001	40000	0.0798800543939376	45	137456	1720780	56720
LAC	Mic1	I	40001	50000	0.1039234397684846	53	213884	2058092	35408
LAC	Mic1	I	50001	60000	0.0967602071072069	53	199064	2057292	36208
LAC	Mic1	I	60001	70000	0.0936888784267025	60	216512	2310968	59032
LAC	Mic1	I	70001	80000	0.0752013946491585	44	128376	1707096	30904
LAC	Mic1	I	80001	90000	0.0908925979680696	44	154308	1697696	40304
LAC	Mic1	I	90001	100000	0.1217561915327416	56	259892	2134528	77472
LAC	Mic1	I	100001	110000	0.1623035048015169	48	297192	1831088	64912
LAC	Mic1	I	110001	120000	0.1271476864138033	37	174972	1376132	85368
LAC	Mic1	I	120001	130000	0.0915916863681226	36	127692	1394144	27856
LAC	Mic1	I	130001	140000	0.0149892157992656	31	18208	1214740	9760
LAC	Mic1	I	140001	150000	0.1273628526256127	42	204936	1609072	49928
LAC	Mic1	I	150001	160000	0.0971513797471149	52	193592	1992684	61316
LAC	Mic1	I	160001	170000	0.0741912334724579	43	123648	1666612	31888
LAC	Mic1	I	170001	180000	0.0594897857269074	54	123892	2082576	50424
LAC	Mic1	I	180001	190000	0.1364318877982815	57	299844	2197756	53744
LAC	Mic1	I	190001	200000	0.086777989638104	54	180224	2076840	56160
LAC	Mic1	I	200001	210000	0.0623769035336533	60	145052	2325412	44588
LAC	Mic1	I	210001	220000	0.1451864487974155	54	298224	2054076	78924
LAC	Mic1	I	220001	230000	0.1815864349364761	61	421980	2323852	85648
LAC	Mic1	I	230001	240000	0.072000592553925	59	163308	2268148	62352
LAC	Mic1	I	240001	250000	0.0630356946990708	53	128732	2042208	51292
LAC	Mic1	I	250001	260000	0.0915173303141108	30	107020	1169396	15604
LAC	Mic1	I	260001	270000	0.0584366720346707	56	126424	2163436	48564
LAC	Mic1	I	270001	280000	0.0490099089859239	52	97100	1981232	72768
LAC	Mic1	I	280001	290000	0.0809122460963967	57	171956	2125216	126284
LAC	Mic1	I	290001	300000	0.0392516696648461	54	82304	2096828	36172
LAC	Mic1	I	300001	310000	0.0452357173186295	52	90768	2006556	47444
LAC	Mic1	I	310001	320000	0.0598856661392482	75	146700	2449668	631332
LAC	Mic1	I	320001	330000	0.1034009070966558	59	234548	2268336	62164
LAC	Mic1	I	330001	340000	0.0312175054406191	55	65928	2111892	60608
LAC	Mic1	I	340001	350000	0.0588354918974097	52	118040	2006272	47728
LAC	Mic1	I	350001	360000	0.1170060288931862	55	246864	2109840	62660
LAC	Mic1	I	360001	370000	0.0466985480525466	57	103744	2221568	29932
LAC	Mic1	I	370001	380000	0.0638939820880893	50	123080	1926316	48684
LAC	Mic1	I	380001	390000	0.0666521964169435	69	175648	2635292	90208
LAC	Mic1	I	390001	400000	0.1036195841073889	70	276656	2669920	95080
LAC	Mic1	I	400001	410000	0.0970378912460508	61	227536	2344816	64684
LAC	Mic1	I	410001	420000	0.1609565255844321	40	247508	1537732	42268
LAC	Mic1	I	420001	430000	0.1003715847999742	49	174604	1739576	195924
LAC	Mic1	I	430001	440000	0.1061158644993332	52	213916	2015872	38128
LAC	Mic1	I	440001	450000	0.1291869587019896	52	243196	1882512	329488
LAC	Mic1	I	450001	460000	0.1258398368049707	50	242064	1923588	51412
